0	1	1	100
1	2	1	100
2	3	1	100
3	4	1	100
4	5	1	100
5	6	1	100
6	7	1	100
7	8	1	100
8	9	1	100
9	10	1	100
10	11	1	100
11	12	1	100
12	13	1	100
13	14	1	100
14	15	1	100
15	16	1	100
16	17	1	100
17	18	1	100
18	19	1	100
19	20	1	100
20	21	1	100
21	22	1	100
22	23	1	100
23	24	1	100
24	25	1	100
25	26	1	100
26	27	1	100
27	28	1	100
28	29	1	100
29	30	1	100
30	31	1	100
31	32	1	100
32	33	1	100
33	34	1	100
34	35	1	100
35	36	1	100
36	37	1	100
37	38	1	100
38	39	1	100
39	40	1	100
40	41	1	100
41	42	1	100
42	43	1	100
43	44	1	100
44	45	1	100
45	46	1	100
46	47	1	100
47	48	1	100
